game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b,mode,pair
0,mcts,rule,A,33,23,6.6419061,0.1068682,25,25,25,25,reduced_board_default_fixed_r2,mcts_rule
1,mcts,rule,B,21,33,6.190325,0.1073725,25,25,25,25,reduced_board_default_fixed_r2,mcts_rule
2,mcts,rule,B,26,31,6.404874399,0.1282883,25,25,25,25,reduced_board_default_fixed_r2,mcts_rule
0,random,expectimax_d2,B,3,38,0.0001078,4.4995762,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d2
1,random,expectimax_d2,B,11,40,9.94e-05,4.056372,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d2
2,random,expectimax_d2,B,4,45,9.33e-05,4.109783,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d2
0,random,expectimax_d3,B,6,42,9.13e-05,39.6033838,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d3
1,random,expectimax_d3,B,9,43,9.57e-05,32.3603771,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d3
2,random,expectimax_d3,B,5,45,9.73e-05,42.9808255,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d3
0,random,greedy,B,5,39,0.0001041,0.5060063,25,25,25,25,reduced_board_default_fixed_r2,random_greedy
1,random,greedy,B,4,48,0.0001088,0.3010297,25,25,25,25,reduced_board_default_fixed_r2,random_greedy
2,random,greedy,B,4,46,0.0001005,0.3634687,25,25,25,25,reduced_board_default_fixed_r2,random_greedy
0,random,mcts,B,1,45,6.94e-05,5.1450278,24,24,25,25,reduced_board_default_fixed_r2,random_mcts
1,random,mcts,B,0,33,7.03e-05,5.0893774,24,24,25,25,reduced_board_default_fixed_r2,random_mcts
2,random,mcts,B,4,52,9.43e-05,6.6035162,25,25,25,25,reduced_board_default_fixed_r2,random_mcts
0,random,rule,B,7,30,0.0001059,0.1603231,24,24,25,25,reduced_board_default_fixed_r2,random_rule
1,random,rule,B,3,52,9.26e-05,0.1524634,25,25,25,25,reduced_board_default_fixed_r2,random_rule
2,random,rule,B,8,45,9.97e-05,0.1629554,25,25,25,25,reduced_board_default_fixed_r2,random_rule
0,rule,expectimax_d2,A,28,23,0.2237229,5.6499954,25,25,25,25,reduced_board_default_fixed_r2,rule_expectimax_d2
1,rule,expectimax_d2,A,39,16,0.1669352,5.1851384,25,25,25,25,reduced_board_default_fixed_r2,rule_expectimax_d2
2,rule,expectimax_d2,A,39,12,0.2953927,5.3366858,25,25,25,25,reduced_board_default_fixed_r2,rule_expectimax_d2
0,rule,expectimax_d3,A,28,23,0.2916481,47.1129248,25,25,25,25,reduced_board_default_fixed_r2,rule_expectimax_d3
1,rule,expectimax_d3,A,47,9,0.2298838,46.2612033,25,25,25,25,reduced_board_default_fixed_r2,rule_expectimax_d3
2,rule,expectimax_d3,A,39,12,0.3201936,47.5712929,25,25,25,25,reduced_board_default_fixed_r2,rule_expectimax_d3
0,rule,greedy,A,29,21,0.2514455,0.36888,25,25,25,25,reduced_board_default_fixed_r2,rule_greedy
1,rule,greedy,A,44,12,0.2139646,0.439717,25,25,25,25,reduced_board_default_fixed_r2,rule_greedy
2,rule,greedy,A,39,12,0.2526769,0.4115032,25,25,25,25,reduced_board_default_fixed_r2,rule_greedy
0,rule,mcts,B,23,35,0.177467,7.0852665,25,25,25,25,reduced_board_default_fixed_r2,rule_mcts
1,rule,mcts,A,32,26,0.1213088,7.2491472,25,25,25,25,reduced_board_default_fixed_r2,rule_mcts
2,rule,mcts,A,27,20,0.1998944,7.4876212,25,25,25,25,reduced_board_default_fixed_r2,rule_mcts
0,rule,random,A,45,6,0.1951393,0.0001256,25,25,25,25,reduced_board_default_fixed_r2,rule_random
1,rule,random,A,46,10,0.210703,0.0001179,25,25,25,25,reduced_board_default_fixed_r2,rule_random
2,rule,random,A,40,5,0.2682804,0.0001104,24,24,25,25,reduced_board_default_fixed_r2,rule_random
0,expectimax_d2,expectimax_d3,A,40,39,7.00624,56.2311649,41,40,41,40,reduced_board_default_goal40_r2,expectimax_d2_expectimax_d3
1,expectimax_d2,expectimax_d3,A,41,28,6.1308068,52.9399525,34,33,34,33,reduced_board_default_goal40_r2,expectimax_d2_expectimax_d3
2,expectimax_d2,expectimax_d3,A,40,16,4.4516804,39.2614993,29,28,29,28,reduced_board_default_goal40_r2,expectimax_d2_expectimax_d3
0,expectimax_d2,greedy,B,22,40,6.3404523,0.5919618,33,33,33,33,reduced_board_default_goal40_r2,expectimax_d2_greedy
1,expectimax_d2,greedy,B,38,43,7.0927265,0.6070351,44,44,44,44,reduced_board_default_goal40_r2,expectimax_d2_greedy
2,expectimax_d2,greedy,A,40,36,7.4259964,0.6439338,40,39,40,39,reduced_board_default_goal40_r2,expectimax_d2_greedy
0,expectimax_d2,mcts,B,11,42,4.2306851,5.9478531,27,27,27,27,reduced_board_default_goal40_r2,expectimax_d2_mcts
1,expectimax_d2,mcts,A,40,16,5.0554442,7.273999,30,29,30,29,reduced_board_default_goal40_r2,expectimax_d2_mcts
2,expectimax_d2,mcts,B,16,40,4.5992785,6.920982,28,28,28,28,reduced_board_default_goal40_r2,expectimax_d2_mcts
0,expectimax_d2,random,A,41,4,3.2084296,9.44e-05,25,24,25,24,reduced_board_default_goal40_r2,expectimax_d2_random
1,expectimax_d2,random,A,40,2,2.5186714,7.49e-05,20,19,20,19,reduced_board_default_goal40_r2,expectimax_d2_random
2,expectimax_d2,random,A,42,10,4.0409288,0.0001103,31,30,31,30,reduced_board_default_goal40_r2,expectimax_d2_random
0,expectimax_d2,rule,B,15,40,4.459912,0.1891195,26,26,26,26,reduced_board_default_goal40_r2,expectimax_d2_rule
1,expectimax_d2,rule,B,35,40,5.7005389,0.2111173,35,35,35,35,reduced_board_default_goal40_r2,expectimax_d2_rule
2,expectimax_d2,rule,B,25,40,3.988233,0.1453946,30,30,30,30,reduced_board_default_goal40_r2,expectimax_d2_rule
0,expectimax_d3,expectimax_d2,B,31,41,64.851251699,7.2181014,34,34,34,34,reduced_board_default_goal40_r2,expectimax_d3_expectimax_d2
1,expectimax_d3,expectimax_d2,A,40,39,55.0049153,7.5086507,39,38,39,38,reduced_board_default_goal40_r2,expectimax_d3_expectimax_d2
2,expectimax_d3,expectimax_d2,A,43,14,34.3054151,4.270698,27,26,27,26,reduced_board_default_goal40_r2,expectimax_d3_expectimax_d2
0,expectimax_d3,greedy,A,40,35,53.0130187,0.4819759,36,35,36,35,reduced_board_default_goal40_r2,expectimax_d3_greedy
1,expectimax_d3,greedy,A,42,28,49.0880671,0.4951852,36,35,36,35,reduced_board_default_goal40_r2,expectimax_d3_greedy
2,expectimax_d3,greedy,B,33,40,57.173244699,0.6116421,41,41,41,41,reduced_board_default_goal40_r2,expectimax_d3_greedy
0,expectimax_d3,mcts,B,8,42,31.6666728,5.8422669,24,24,24,24,reduced_board_default_goal40_r2,expectimax_d3_mcts
1,expectimax_d3,mcts,A,41,23,52.5923103,8.6147017,34,33,34,33,reduced_board_default_goal40_r2,expectimax_d3_mcts
2,expectimax_d3,mcts,A,40,35,46.3129523,8.9398331,38,37,38,37,reduced_board_default_goal40_r2,expectimax_d3_mcts
0,expectimax_d3,random,A,42,2,30.4870985,9.2e-05,24,23,24,23,reduced_board_default_goal40_r2,expectimax_d3_random
1,expectimax_d3,random,A,40,0,29.6486311,7.46e-05,21,20,21,20,reduced_board_default_goal40_r2,expectimax_d3_random
2,expectimax_d3,random,A,40,2,28.7796634,7.98e-05,24,23,24,23,reduced_board_default_goal40_r2,expectimax_d3_random
0,expectimax_d3,rule,B,30,40,48.4957001,0.1693396,33,33,33,33,reduced_board_default_goal40_r2,expectimax_d3_rule
1,expectimax_d3,rule,A,41,32,41.6962837,0.2466116,34,33,34,33,reduced_board_default_goal40_r2,expectimax_d3_rule
2,expectimax_d3,rule,B,38,40,50.044199,0.2238152,35,35,35,35,reduced_board_default_goal40_r2,expectimax_d3_rule
0,greedy,expectimax_d2,B,15,41,0.3566725,4.2782788,30,30,30,30,reduced_board_default_goal40_r2,greedy_expectimax_d2
1,greedy,expectimax_d2,B,34,40,0.4410262,5.8618354,37,37,37,37,reduced_board_default_goal40_r2,greedy_expectimax_d2
2,greedy,expectimax_d2,B,24,40,0.5410266,4.858023299,31,31,31,31,reduced_board_default_goal40_r2,greedy_expectimax_d2
0,greedy,expectimax_d3,B,18,41,0.366246,36.8110197,30,30,30,30,reduced_board_default_goal40_r2,greedy_expectimax_d3
1,greedy,expectimax_d3,A,41,29,0.3640439,46.231372299,34,33,34,33,reduced_board_default_goal40_r2,greedy_expectimax_d3
2,greedy,expectimax_d3,B,19,40,0.3994932,42.676774299,29,29,29,29,reduced_board_default_goal40_r2,greedy_expectimax_d3
0,greedy,mcts,B,15,40,0.4107958,5.8988326,26,26,26,26,reduced_board_default_goal40_r2,greedy_mcts
1,greedy,mcts,A,40,25,0.3651451,8.095622,35,34,35,34,reduced_board_default_goal40_r2,greedy_mcts
2,greedy,mcts,B,38,42,0.4572151,8.5426635,39,39,39,39,reduced_board_default_goal40_r2,greedy_mcts
0,greedy,random,A,42,4,0.3291264,0.0001931,26,25,26,25,reduced_board_default_goal40_r2,greedy_random
1,greedy,random,A,42,1,0.2070398,6.95e-05,20,19,20,19,reduced_board_default_goal40_r2,greedy_random
2,greedy,random,A,42,5,0.3083531,8.86e-05,28,27,28,27,reduced_board_default_goal40_r2,greedy_random
0,greedy,rule,B,21,40,0.465103,0.1867731,28,28,28,28,reduced_board_default_goal40_r2,greedy_rule
1,greedy,rule,B,33,41,0.429513099,0.2441304,35,35,35,35,reduced_board_default_goal40_r2,greedy_rule
2,greedy,rule,B,24,40,0.3761198,0.1624542,31,31,31,31,reduced_board_default_goal40_r2,greedy_rule
0,mcts,expectimax_d2,B,33,41,8.6434873,6.1262768,36,36,36,36,reduced_board_default_goal40_r2,mcts_expectimax_d2
1,mcts,expectimax_d2,A,41,6,5.5634112,4.1507578,24,23,24,23,reduced_board_default_goal40_r2,mcts_expectimax_d2
2,mcts,expectimax_d2,A,40,20,6.736065501,4.5047237,29,28,29,28,reduced_board_default_goal40_r2,mcts_expectimax_d2
0,mcts,expectimax_d3,B,30,42,8.165277,42.6795496,34,34,34,34,reduced_board_default_goal40_r2,mcts_expectimax_d3
1,mcts,expectimax_d3,A,43,3,5.5448942,27.0933095,23,22,23,22,reduced_board_default_goal40_r2,mcts_expectimax_d3
2,mcts,expectimax_d3,A,40,36,8.2275487,42.3286932,37,36,37,36,reduced_board_default_goal40_r2,mcts_expectimax_d3
0,mcts,greedy,A,40,16,5.6389887,0.3868639,27,26,27,26,reduced_board_default_goal40_r2,mcts_greedy
1,mcts,greedy,A,42,4,5.3687714,0.2208447,23,22,23,22,reduced_board_default_goal40_r2,mcts_greedy
2,mcts,greedy,A,40,39,8.9178978,0.4629723,40,39,40,39,reduced_board_default_goal40_r2,mcts_greedy
0,mcts,random,A,41,3,5.1602086,8.25e-05,25,24,26,25,reduced_board_default_goal40_r2,mcts_random
1,mcts,random,A,40,2,4.656463,6.93e-05,21,20,21,20,reduced_board_default_goal40_r2,mcts_random
2,mcts,random,A,42,9,5.5425413,7.36e-05,27,26,27,26,reduced_board_default_goal40_r2,mcts_random
0,mcts,rule,A,40,34,8.155861,0.1253167,34,33,34,33,reduced_board_default_goal40_r2,mcts_rule
1,mcts,rule,B,36,42,8.4111051,0.1503985,36,36,36,36,reduced_board_default_goal40_r2,mcts_rule
2,mcts,rule,A,43,30,7.3228406,0.1317597,32,31,32,31,reduced_board_default_goal40_r2,mcts_rule
0,random,expectimax_d2,B,7,41,8.73e-05,4.0680378,26,26,26,26,reduced_board_default_goal40_r2,random_expectimax_d2
1,random,expectimax_d2,B,11,40,8.07e-05,4.1638713,25,25,25,25,reduced_board_default_goal40_r2,random_expectimax_d2
2,random,expectimax_d2,B,3,41,7.83e-05,3.8615448,22,22,22,22,reduced_board_default_goal40_r2,random_expectimax_d2
0,random,expectimax_d3,B,6,41,8.18e-05,37.3483618,23,23,23,23,reduced_board_default_goal40_r2,random_expectimax_d3
1,random,expectimax_d3,B,8,40,7.85e-05,31.94274,22,22,22,22,reduced_board_default_goal40_r2,random_expectimax_d3
2,random,expectimax_d3,B,6,42,7.17e-05,35.3349527,24,24,24,24,reduced_board_default_goal40_r2,random_expectimax_d3
0,random,greedy,B,6,42,8.96e-05,0.3463698,26,26,26,26,reduced_board_default_goal40_r2,random_greedy
1,random,greedy,B,1,42,8.02e-05,0.2166418,21,21,21,21,reduced_board_default_goal40_r2,random_greedy
2,random,greedy,B,4,42,8.21e-05,0.3144821,24,24,24,24,reduced_board_default_goal40_r2,random_greedy
0,random,mcts,B,1,43,6.59e-05,4.4737297,25,25,26,26,reduced_board_default_goal40_r2,random_mcts
1,random,mcts,B,1,43,8.42e-05,5.8626315,29,29,30,30,reduced_board_default_goal40_r2,random_mcts
2,random,mcts,B,4,40,5.49e-05,4.4090899,19,19,19,19,reduced_board_default_goal40_r2,random_mcts
0,random,rule,B,7,42,8.19e-05,0.1573871,27,27,28,28,reduced_board_default_goal40_r2,random_rule
1,random,rule,B,2,41,5.86e-05,0.1105377,19,19,19,19,reduced_board_default_goal40_r2,random_rule
2,random,rule,B,8,40,7.9899e-05,0.1519442,23,23,23,23,reduced_board_default_goal40_r2,random_rule
0,rule,expectimax_d2,A,40,23,0.2138511,4.8116171,31,30,31,30,reduced_board_default_goal40_r2,rule_expectimax_d2
1,rule,expectimax_d2,A,40,16,0.1265261,3.6660348,26,25,26,25,reduced_board_default_goal40_r2,rule_expectimax_d2
2,rule,expectimax_d2,A,40,12,0.2271235,3.7788878,26,25,26,25,reduced_board_default_goal40_r2,rule_expectimax_d2
0,rule,expectimax_d3,B,38,43,0.2699427,51.9958037,39,39,39,39,reduced_board_default_goal40_r2,rule_expectimax_d3
1,rule,expectimax_d3,A,41,6,0.102917,28.5208039,22,21,22,21,reduced_board_default_goal40_r2,rule_expectimax_d3
2,rule,expectimax_d3,A,40,12,0.1896111,33.0176309,26,25,26,25,reduced_board_default_goal40_r2,rule_expectimax_d3
0,rule,greedy,A,40,24,0.1962553,0.2894209,33,32,33,32,reduced_board_default_goal40_r2,rule_greedy
1,rule,greedy,A,42,12,0.1520698,0.458663,23,22,23,22,reduced_board_default_goal40_r2,rule_greedy
2,rule,greedy,A,40,12,0.2317848,0.3905196,26,25,26,25,reduced_board_default_goal40_r2,rule_greedy
0,rule,mcts,A,40,25,0.1212961,6.6202681,28,27,28,27,reduced_board_default_goal40_r2,rule_mcts
1,rule,mcts,A,40,38,0.1666425,8.7583264,36,35,36,35,reduced_board_default_goal40_r2,rule_mcts
2,rule,mcts,A,41,30,0.2107,7.8389154,33,32,33,32,reduced_board_default_goal40_r2,rule_mcts
0,rule,random,A,40,3,0.1383714,8.5e-05,23,22,23,22,reduced_board_default_goal40_r2,rule_random
1,rule,random,A,42,7,0.1191947,7.55e-05,22,21,22,21,reduced_board_default_goal40_r2,rule_random
2,rule,random,A,40,5,0.1706364,8.38e-05,24,23,25,24,reduced_board_default_goal40_r2,rule_random
0,expectimax_d2,expectimax_d3,B,38,68,4.4236746,34.2205576,23,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_expectimax_d3
1,expectimax_d2,expectimax_d3,B,49,65,5.103154,31.4184435,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_expectimax_d3
2,expectimax_d2,expectimax_d3,A,56,55,3.9130772,30.1772778,25,25,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_expectimax_d3
0,expectimax_d2,greedy,B,34,59,4.1536057,0.4051026,23,23,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_greedy
1,expectimax_d2,greedy,B,49,51,5.8895082,0.5215488,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_greedy
2,expectimax_d2,greedy,B,54,57,4.6884591,0.4552415,25,25,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_greedy
0,expectimax_d2,mcts,A,61,27,4.6710327,5.2163739,23,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_mcts
1,expectimax_d2,mcts,B,30,69,5.4217045,5.8751697,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_mcts
2,expectimax_d2,mcts,B,12,27,2.6237526,2.9012284,22,22,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_mcts
0,expectimax_d2,random,A,63,6,3.1552247,0.0001067,23,23,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_random
1,expectimax_d2,random,A,91,2,3.3226199,9.32e-05,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_random
2,expectimax_d2,random,A,73,12,3.0343535,8.63e-05,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_random
0,expectimax_d2,rule,B,42,60,5.5641358,0.3355817,25,25,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_rule
1,expectimax_d2,rule,A,60,42,4.4577545,0.3160549,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_rule
2,expectimax_d2,rule,B,41,50,4.1608314,0.2329157,25,25,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d2_rule
0,expectimax_d3,expectimax_d2,B,33,62,30.439559,4.4501252,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_expectimax_d2
1,expectimax_d3,expectimax_d2,A,58,48,34.1207506,4.8025481,24,24,25,25,reduced_board_bottleneck_7x7_fixed_r2,expectimax_d3_expectimax_d2
