agent_a,agent_b,game,agent,opponent,seat,score,captures,net_captures,capture_points,control_points,passes,pass_rate,chosen_move1,chosen_move2,chosen_mobilize,chosen_capture,chosen_swap,exposed_move1,exposed_move2,exposed_mobilize,exposed_capture,exposed_swap,game_final_pass_streak,game_deadlocked
expectimax,greedy,21,expectimax,greedy,first,48,6,1,18,30,0,0.000000,17,10,7,6,10,35,23,29,8,11,0,False
expectimax,greedy,21,greedy,expectimax,second,45,12,1,36,9,0,0.000000,11,14,8,12,5,34,20,33,15,5,0,False
expectimax,greedy,22,expectimax,greedy,first,76,12,2,36,40,0,0.000000,15,10,6,12,7,32,28,38,12,10,0,False
expectimax,greedy,22,greedy,expectimax,second,24,7,0,21,3,0,0.000000,14,11,9,7,9,32,29,40,9,10,0,False
expectimax,greedy,23,expectimax,greedy,first,63,9,1,27,36,0,0.000000,21,10,5,9,5,37,26,39,11,8,0,False
expectimax,greedy,23,greedy,expectimax,second,42,11,0,33,9,0,0.000000,6,12,10,11,11,34,25,41,15,13,0,False
expectimax,greedy,24,expectimax,greedy,first,66,9,0,27,39,0,0.000000,20,8,6,9,7,33,19,45,9,10,0,False
expectimax,greedy,24,greedy,expectimax,second,35,10,0,30,5,0,0.000000,9,12,10,10,9,27,16,47,10,11,0,False
expectimax,greedy,25,expectimax,greedy,first,57,9,0,27,30,0,0.000000,13,12,6,9,10,39,17,35,10,12,0,False
expectimax,greedy,25,greedy,expectimax,second,41,9,0,27,14,0,0.000000,14,10,11,9,6,40,19,34,9,7,0,False
expectimax,greedy,26,expectimax,greedy,first,63,9,1,27,36,0,0.000000,18,10,7,9,6,38,19,36,12,9,0,False
expectimax,greedy,26,greedy,expectimax,second,44,11,1,33,11,0,0.000000,9,13,8,11,9,34,21,35,14,11,0,False
expectimax,greedy,27,expectimax,greedy,first,78,14,0,42,36,0,0.000000,15,10,4,14,7,32,18,40,16,9,0,False
expectimax,greedy,27,greedy,expectimax,second,25,6,0,18,7,0,0.000000,13,12,11,6,8,33,20,40,7,11,0,False
expectimax,greedy,28,expectimax,greedy,first,64,8,0,24,40,0,0.000000,19,12,5,8,6,31,21,44,13,11,0,False
expectimax,greedy,28,greedy,expectimax,second,31,9,2,27,4,0,0.000000,12,12,7,9,10,29,20,43,13,13,0,False
expectimax,greedy,29,expectimax,greedy,first,52,11,4,33,19,0,0.000000,17,9,8,11,5,37,22,30,14,8,0,False
expectimax,greedy,29,greedy,expectimax,second,45,8,1,24,21,0,0.000000,11,12,8,8,11,41,22,29,14,14,0,False
expectimax,mcts,0,expectimax,mcts,first,20,3,2,9,11,29,0.580000,8,6,3,3,1,13,11,14,38,5,58,True
expectimax,mcts,0,mcts,expectimax,second,14,3,1,9,5,29,0.580000,4,4,6,3,4,13,8,14,38,8,58,True
expectimax,mcts,1,expectimax,mcts,first,51,10,2,30,21,0,0.000000,17,11,5,10,7,36,17,30,19,12,0,False
expectimax,mcts,1,mcts,expectimax,second,61,10,0,30,31,0,0.000000,10,10,12,10,8,38,20,33,20,13,0,False
expectimax,mcts,2,expectimax,mcts,first,43,9,1,27,16,1,0.020000,16,12,7,9,5,38,24,26,20,11,0,False
expectimax,mcts,2,mcts,expectimax,second,60,10,2,30,30,0,0.000000,10,10,10,10,10,35,17,26,20,18,0,False
expectimax,mcts,3,expectimax,mcts,first,58,13,2,39,19,0,0.000000,16,9,6,13,6,37,18,29,17,22,0,False
expectimax,mcts,3,mcts,expectimax,second,42,6,0,18,24,0,0.000000,13,12,11,6,8,34,23,34,8,26,0,False
expectimax,mcts,4,expectimax,mcts,first,54,12,0,36,18,0,0.000000,14,11,8,12,5,31,18,33,13,16,0,False
expectimax,mcts,4,mcts,expectimax,second,49,7,1,21,28,0,0.000000,14,12,8,7,9,31,16,33,13,19,0,False
expectimax,mcts,5,expectimax,mcts,first,58,13,2,39,19,0,0.000000,14,13,4,13,6,34,34,22,13,16,0,False
expectimax,mcts,5,mcts,expectimax,second,40,3,0,9,31,0,0.000000,14,10,13,3,10,40,27,24,9,17,0,False
expectimax,mcts,6,expectimax,mcts,first,48,8,2,24,24,12,0.240000,12,8,5,8,5,22,18,25,25,11,25,True
expectimax,mcts,6,mcts,expectimax,second,22,4,0,12,10,13,0.260000,10,9,8,4,6,20,15,24,24,12,25,True
expectimax,mcts,7,expectimax,mcts,first,44,9,1,27,17,0,0.000000,16,11,5,9,9,39,22,23,14,17,0,False
expectimax,mcts,7,mcts,expectimax,second,60,9,1,27,33,0,0.000000,13,10,11,9,7,37,21,24,17,14,0,False
expectimax,mcts,8,expectimax,mcts,first,0,0,0,0,0,50,1.000000,0,0,0,0,0,0,0,0,50,0,100,True
expectimax,mcts,8,mcts,expectimax,second,0,0,0,0,0,50,1.000000,0,0,0,0,0,0,0,0,50,0,100,True
expectimax,mcts,9,expectimax,mcts,first,54,13,6,39,15,0,0.000000,14,12,5,13,6,35,23,32,16,13,0,False
expectimax,mcts,9,mcts,expectimax,second,54,6,1,18,36,0,0.000000,14,8,12,6,10,34,23,34,15,15,0,False
expectimax,mcts,10,expectimax,mcts,first,4,1,1,3,1,46,0.920000,2,1,0,1,0,2,2,0,48,4,92,True
expectimax,mcts,10,mcts,expectimax,second,0,0,0,0,0,46,0.920000,1,2,0,0,1,2,2,0,48,4,92,True
expectimax,mcts,11,expectimax,mcts,first,58,12,2,36,22,0,0.000000,15,10,9,12,4,32,24,28,16,15,0,False
expectimax,mcts,11,mcts,expectimax,second,47,6,0,18,29,0,0.000000,13,12,8,6,11,34,21,29,15,18,0,False
expectimax,mcts,12,expectimax,mcts,first,63,13,3,39,24,0,0.000000,15,10,4,13,8,33,29,34,16,15,0,False
expectimax,mcts,12,mcts,expectimax,second,37,5,0,15,22,0,0.000000,12,13,12,5,8,36,24,35,11,13,0,False
expectimax,mcts,13,expectimax,mcts,first,62,11,4,33,29,0,0.000000,17,9,3,11,10,39,20,31,15,14,0,False
expectimax,mcts,13,mcts,expectimax,second,45,8,0,24,21,0,0.000000,12,12,14,8,4,38,22,32,14,12,0,False
expectimax,mcts,14,expectimax,mcts,first,50,13,1,39,11,0,0.000000,18,9,4,13,6,39,22,25,15,12,0,False
expectimax,mcts,14,mcts,expectimax,second,61,7,0,21,40,0,0.000000,8,14,12,7,9,37,24,25,12,12,0,False
expectimax,mcts,15,expectimax,mcts,first,49,11,2,33,16,0,0.000000,18,11,4,11,6,34,30,22,16,12,0,False
expectimax,mcts,15,mcts,expectimax,second,59,9,0,27,32,0,0.000000,8,11,12,9,10,34,25,25,14,15,0,False
expectimax,mcts,16,expectimax,mcts,first,68,11,1,33,35,0,0.000000,18,7,8,11,6,36,22,26,19,12,0,False
expectimax,mcts,16,mcts,expectimax,second,39,7,0,21,18,0,0.000000,13,14,8,7,8,32,25,27,17,14,0,False
expectimax,mcts,17,expectimax,mcts,first,66,14,1,42,24,0,0.000000,17,10,3,14,6,30,24,28,21,14,0,False
expectimax,mcts,17,mcts,expectimax,second,35,6,1,18,17,0,0.000000,11,12,12,6,9,28,25,33,21,15,0,False
expectimax,mcts,18,expectimax,mcts,first,52,9,2,27,25,0,0.000000,16,11,7,9,7,41,26,30,11,15,0,False
expectimax,mcts,18,mcts,expectimax,second,54,10,0,30,24,0,0.000000,11,11,11,10,7,38,26,29,14,13,0,False
expectimax,mcts,19,expectimax,mcts,first,1,0,0,0,1,47,0.940000,2,0,1,0,0,2,0,1,50,0,94,True
expectimax,mcts,19,mcts,expectimax,second,0,0,0,0,0,47,0.940000,1,1,1,0,0,1,1,1,50,0,94,True
expectimax,mcts,20,expectimax,mcts,first,48,9,2,27,21,1,0.020000,9,16,7,9,8,34,19,26,21,13,0,False
expectimax,mcts,20,mcts,expectimax,second,57,9,1,27,30,0,0.000000,18,7,9,9,7,38,12,28,24,14,0,False
expectimax,mcts,21,expectimax,mcts,first,51,8,1,24,27,0,0.000000,18,9,6,8,9,34,27,28,13,15,0,False
expectimax,mcts,21,mcts,expectimax,second,51,10,1,30,21,0,0.000000,8,15,11,10,6,35,29,26,20,10,0,False
