agent,personal_turn,mean_score,std_score,observations
mcts,40,31.838889,20.493810,360
mcts,41,32.652778,21.035823,360
mcts,42,33.386111,21.499325,360
mcts,43,34.161111,21.989023,360
mcts,44,34.958333,22.523672,360
mcts,45,35.772222,23.110448,360
mcts,46,36.700000,23.738219,360
mcts,47,37.427778,24.257906,360
mcts,48,38.247222,24.816261,360
mcts,49,39.122222,25.474802,360
mcts,50,39.891667,26.073433,360
minimax,1,0.019444,0.138273,360
minimax,2,1.263889,1.439524,360
minimax,3,2.411111,1.988235,360
minimax,4,3.616667,2.492943,360
minimax,5,4.572222,2.906204,360
minimax,6,5.372222,3.220807,360
minimax,7,6.388889,3.735531,360
minimax,8,7.602778,4.300093,360
minimax,9,8.805556,4.827495,360
minimax,10,9.769444,5.259257,360
minimax,11,10.827778,5.582833,360
minimax,12,12.080556,6.077646,360
minimax,13,13.216667,6.598957,360
minimax,14,14.455556,7.085095,360
minimax,15,15.719444,7.623206,360
minimax,16,16.766667,8.119991,360
minimax,17,17.875000,8.502560,360
minimax,18,19.038889,8.962543,360
minimax,19,20.138889,9.493152,360
minimax,20,21.344444,9.889823,360
minimax,21,22.483333,10.307514,360
minimax,22,23.541667,10.815672,360
minimax,23,24.555556,11.252593,360
minimax,24,25.930556,11.776619,360
minimax,25,26.961111,12.165234,360
minimax,26,27.911111,12.647036,360
minimax,27,29.016667,13.132059,360
minimax,28,30.116667,13.671749,360
minimax,29,31.152778,14.203907,360
minimax,30,32.386111,14.739836,360
minimax,31,33.527778,15.205347,360
minimax,32,34.591667,15.693351,360
minimax,33,35.655556,16.081035,360
minimax,34,36.852778,16.531998,360
minimax,35,37.938889,16.992269,360
minimax,36,39.072222,17.417543,360
minimax,37,40.261111,17.931893,360
minimax,38,41.211111,18.250040,360
minimax,39,42.377778,18.737196,360
minimax,40,43.497222,19.147281,360
minimax,41,44.544444,19.573253,360
minimax,42,45.705556,20.008131,360
minimax,43,46.866667,20.551017,360
minimax,44,47.930556,21.008770,360
minimax,45,48.980556,21.606565,360
minimax,46,50.122222,22.133466,360
minimax,47,51.041667,22.535541,360
minimax,48,52.047222,22.951699,360
minimax,49,53.044444,23.422681,360
minimax,50,53.997222,23.863645,360
random,1,0.025000,0.156342,360
random,2,0.111111,0.407300,360
random,3,0.377778,0.915089,360
random,4,0.544444,1.150619,360
random,5,0.761111,1.353275,360
random,6,0.897222,1.495767,360
random,7,1.027778,1.598852,360
random,8,1.127778,1.740971,360
random,9,1.311111,1.844328,360
random,10,1.480556,2.031688,360
random,11,1.633333,2.174555,360
random,12,1.811111,2.380957,360
random,13,1.961111,2.550578,360
random,14,2.111111,2.703323,360
random,15,2.277778,2.787868,360
random,16,2.413889,2.917305,360
random,17,2.550000,3.002831,360
random,18,2.705556,3.097662,360
random,19,2.808333,3.194605,360
random,20,2.919444,3.305547,360
random,21,3.033333,3.417797,360
random,22,3.177778,3.524930,360
