mode,pair,game,agent,opponent,seat,outcome,score,margin,decision_time_seconds,decisions,turns,milliseconds_per_decision,board
corrected_reduced_depth_bottleneck_7x7_goal20_r2,rule_expectimax_d4,0,expectimax_d4,rule,second,1.0,22,7,65.1303772,11,11,5920.9433818181815,Bottleneck 7x7
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d2_expectimax_d3,0,expectimax_d2,expectimax_d3,first,1.0,22,15,0.998969,6,6,166.49483333333333,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d2_expectimax_d3,0,expectimax_d3,expectimax_d2,second,0.0,7,-15,7.499328,5,5,1499.8656,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d2_expectimax_d4,0,expectimax_d2,expectimax_d4,first,1.0,22,15,1.0599228,6,6,176.65380000000002,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d2_expectimax_d4,0,expectimax_d4,expectimax_d2,second,0.0,7,-15,79.9023629,5,5,15980.472579999998,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d2_rule,0,expectimax_d2,rule,first,1.0,20,14,0.9940788,5,5,198.81576,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d2_rule,0,rule,expectimax_d2,second,0.0,6,-14,0.0153072,4,4,3.8268,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d3_expectimax_d2,0,expectimax_d3,expectimax_d2,first,1.0,22,15,10.6024367,6,6,1767.0727833333333,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d3_expectimax_d2,0,expectimax_d2,expectimax_d3,second,0.0,7,-15,1.1714197,5,5,234.28393999999997,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d3_expectimax_d4,0,expectimax_d3,expectimax_d4,first,1.0,22,15,9.3494103,6,6,1558.2350500000002,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d3_expectimax_d4,0,expectimax_d4,expectimax_d3,second,0.0,7,-15,77.8177744,5,5,15563.554880000002,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d3_rule,0,expectimax_d3,rule,first,1.0,20,14,8.859157,5,5,1771.8313999999998,Inner ring
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,expectimax_d3_rule,0,rule,expectimax_d3,second,0.0,6,-14,0.0169238,4,4,4.23095,Inner ring
