mode,pair,game,agent,opponent,seat,outcome,score,margin,decision_time_seconds,decisions,turns,milliseconds_per_decision
corrected_reduced_board_default_fixed_r2,mcts_greedy,2,greedy,mcts,second,0.0,14,-21,0.2074211,25,25,8.296844
corrected_reduced_board_default_fixed_r2,mcts_random,0,mcts,random,first,1.0,40,38,4.0682211,25,25,162.72884399999998
corrected_reduced_board_default_fixed_r2,mcts_random,0,random,mcts,second,0.0,2,-38,8.12e-05,25,25,0.0032479999999999996
corrected_reduced_board_default_fixed_r2,mcts_random,1,mcts,random,first,1.0,51,51,4.1656052,25,25,166.624208
corrected_reduced_board_default_fixed_r2,mcts_random,1,random,mcts,second,0.0,0,-51,6.77e-05,25,25,0.0027080000000000003
corrected_reduced_board_default_fixed_r2,mcts_random,2,mcts,random,first,1.0,42,39,3.8771926,25,25,155.087704
corrected_reduced_board_default_fixed_r2,mcts_random,2,random,mcts,second,0.0,3,-39,5.58e-05,25,25,0.002232
corrected_reduced_board_default_fixed_r2,mcts_rule,0,mcts,rule,first,1.0,30,10,4.1934805,25,25,167.73922
corrected_reduced_board_default_fixed_r2,mcts_rule,0,rule,mcts,second,0.0,20,-10,0.0786513,25,25,3.1460519999999996
corrected_reduced_board_default_fixed_r2,mcts_rule,1,mcts,rule,first,1.0,31,5,4.1029368,25,25,164.11747200000002
corrected_reduced_board_default_fixed_r2,mcts_rule,1,rule,mcts,second,0.0,26,-5,0.1179083,25,25,4.7163319999999995
corrected_reduced_board_default_fixed_r2,mcts_rule,2,mcts,rule,first,1.0,29,2,4.2112721,25,25,168.450884
corrected_reduced_board_default_fixed_r2,mcts_rule,2,rule,mcts,second,0.0,27,-2,0.0745506,25,25,2.9820239999999996
corrected_reduced_board_default_fixed_r2,random_expectimax_d2,0,random,expectimax_d2,first,0.0,3,-38,9.74e-05,25,25,0.003896
corrected_reduced_board_default_fixed_r2,random_expectimax_d2,0,expectimax_d2,random,second,1.0,41,38,3.4578274,25,25,138.313096
corrected_reduced_board_default_fixed_r2,random_expectimax_d2,1,random,expectimax_d2,first,0.0,5,-41,0.0015209,25,25,0.060835999999999994
corrected_reduced_board_default_fixed_r2,random_expectimax_d2,1,expectimax_d2,random,second,1.0,46,41,4.3649409,25,25,174.597636
corrected_reduced_board_default_fixed_r2,random_expectimax_d2,2,random,expectimax_d2,first,0.0,5,-36,7.32e-05,25,25,0.002928
corrected_reduced_board_default_fixed_r2,random_expectimax_d2,2,expectimax_d2,random,second,1.0,41,36,2.9657001,25,25,118.628004
corrected_reduced_board_default_fixed_r2,random_expectimax_d3,0,random,expectimax_d3,first,0.0,7,-30,9.5e-05,25,25,0.0038
corrected_reduced_board_default_fixed_r2,random_expectimax_d3,0,expectimax_d3,random,second,1.0,37,30,26.2968,25,25,1051.872
corrected_reduced_board_default_fixed_r2,random_expectimax_d3,1,random,expectimax_d3,first,0.0,2,-47,0.0001012,25,25,0.0040479999999999995
corrected_reduced_board_default_fixed_r2,random_expectimax_d3,1,expectimax_d3,random,second,1.0,49,47,33.7235438,25,25,1348.941752
corrected_reduced_board_default_fixed_r2,random_expectimax_d3,2,random,expectimax_d3,first,0.0,6,-35,8.98e-05,25,25,0.003592
corrected_reduced_board_default_fixed_r2,random_expectimax_d3,2,expectimax_d3,random,second,1.0,41,35,27.3346695,25,25,1093.38678
corrected_reduced_board_default_fixed_r2,random_greedy,0,random,greedy,first,0.0,5,-30,9.11e-05,25,25,0.003644
corrected_reduced_board_default_fixed_r2,random_greedy,0,greedy,random,second,1.0,35,30,0.275225,25,25,11.009
corrected_reduced_board_default_fixed_r2,random_greedy,1,random,greedy,first,0.0,4,-44,9.12e-05,25,25,0.0036479999999999998
corrected_reduced_board_default_fixed_r2,random_greedy,1,greedy,random,second,1.0,48,44,0.2094864,25,25,8.379456
corrected_reduced_board_default_fixed_r2,random_greedy,2,random,greedy,first,0.0,9,-26,7.9e-05,25,25,0.00316
corrected_reduced_board_default_fixed_r2,random_greedy,2,greedy,random,second,1.0,35,26,0.2811512,25,25,11.246048
corrected_reduced_board_default_fixed_r2,random_mcts,0,random,mcts,first,0.0,2,-42,6.09e-05,25,25,0.0024360000000000002
corrected_reduced_board_default_fixed_r2,random_mcts,0,mcts,random,second,1.0,44,42,5.0183549,25,25,200.734196
corrected_reduced_board_default_fixed_r2,random_mcts,1,random,mcts,first,0.0,1,-46,6e-05,25,25,0.0024000000000000002
corrected_reduced_board_default_fixed_r2,random_mcts,1,mcts,random,second,1.0,47,46,5.0757137,25,25,203.02854799999997
corrected_reduced_board_default_fixed_r2,random_mcts,2,random,mcts,first,0.0,6,-32,7.98e-05,25,25,0.003192
corrected_reduced_board_default_fixed_r2,random_mcts,2,mcts,random,second,1.0,38,32,4.5580801,25,25,182.323204
corrected_reduced_board_default_fixed_r2,random_rule,0,random,rule,first,0.0,7,-23,8.53e-05,24,25,0.003554166666666667
corrected_reduced_board_default_fixed_r2,random_rule,0,rule,random,second,1.0,30,23,0.1933543,24,25,8.056429166666666
corrected_reduced_board_default_fixed_r2,random_rule,1,random,rule,first,0.0,3,-49,9.81e-05,25,25,0.0039239999999999995
corrected_reduced_board_default_fixed_r2,random_rule,1,rule,random,second,1.0,52,49,0.1746714,25,25,6.986856
corrected_reduced_board_default_fixed_r2,random_rule,2,random,rule,first,0.0,8,-37,0.0001017,25,25,0.004068
corrected_reduced_board_default_fixed_r2,random_rule,2,rule,random,second,1.0,45,37,0.1736121,25,25,6.944484
corrected_reduced_board_default_fixed_r2,rule_expectimax_d2,0,rule,expectimax_d2,first,0.0,25,-3,0.2846161,25,25,11.384643999999998
corrected_reduced_board_default_fixed_r2,rule_expectimax_d2,0,expectimax_d2,rule,second,1.0,28,3,7.4031019,25,25,296.124076
corrected_reduced_board_default_fixed_r2,rule_expectimax_d2,1,rule,expectimax_d2,first,1.0,39,24,0.1583197,25,25,6.332788000000001
corrected_reduced_board_default_fixed_r2,rule_expectimax_d2,1,expectimax_d2,rule,second,0.0,15,-24,4.1097686,25,25,164.39074399999998
corrected_reduced_board_default_fixed_r2,rule_expectimax_d2,2,rule,expectimax_d2,first,1.0,39,24,0.223035,25,25,8.9214
corrected_reduced_board_default_fixed_r2,rule_expectimax_d2,2,expectimax_d2,rule,second,0.0,15,-24,4.1925728,25,25,167.702912
corrected_reduced_board_default_fixed_r2,rule_expectimax_d3,0,rule,expectimax_d3,first,1.0,28,3,0.1672185,25,25,6.68874
corrected_reduced_board_default_fixed_r2,rule_expectimax_d3,0,expectimax_d3,rule,second,0.0,25,-3,31.0348092,25,25,1241.392368
corrected_reduced_board_default_fixed_r2,rule_expectimax_d3,1,rule,expectimax_d3,first,1.0,43,32,0.1212546,25,25,4.8501840000000005
corrected_reduced_board_default_fixed_r2,rule_expectimax_d3,1,expectimax_d3,rule,second,0.0,11,-32,28.8940071,25,25,1155.760284
corrected_reduced_board_default_fixed_r2,rule_expectimax_d3,2,rule,expectimax_d3,first,1.0,42,30,0.1327644,25,25,5.310576
corrected_reduced_board_default_fixed_r2,rule_expectimax_d3,2,expectimax_d3,rule,second,0.0,12,-30,22.8041405,25,25,912.1656199999999
corrected_reduced_board_default_fixed_r2,rule_greedy,0,rule,greedy,first,1.0,29,8,0.1817901,25,25,7.271604000000001
corrected_reduced_board_default_fixed_r2,rule_greedy,0,greedy,rule,second,0.0,21,-8,0.2558496,25,25,10.233984
corrected_reduced_board_default_fixed_r2,rule_greedy,1,rule,greedy,first,1.0,47,37,0.2150521,25,25,8.602084
corrected_reduced_board_default_fixed_r2,rule_greedy,1,greedy,rule,second,0.0,10,-37,0.512197,25,25,20.48788
corrected_reduced_board_default_fixed_r2,rule_greedy,2,rule,greedy,first,1.0,42,30,0.1979784,25,25,7.919136
corrected_reduced_board_default_fixed_r2,rule_greedy,2,greedy,rule,second,0.0,12,-30,0.3806023,25,25,15.224092
corrected_reduced_board_default_fixed_r2,rule_mcts,0,rule,mcts,first,1.0,44,30,0.1059248,25,25,4.236992
corrected_reduced_board_default_fixed_r2,rule_mcts,0,mcts,rule,second,0.0,14,-30,4.0319179,25,25,161.276716
corrected_reduced_board_default_fixed_r2,rule_mcts,1,rule,mcts,first,1.0,34,10,0.1055821,25,25,4.223284
corrected_reduced_board_default_fixed_r2,rule_mcts,1,mcts,rule,second,0.0,24,-10,4.6073731,25,25,184.29492399999998
corrected_reduced_board_default_fixed_r2,rule_mcts,2,rule,mcts,first,1.0,31,9,0.0888305,25,25,3.55322
corrected_reduced_board_default_fixed_r2,rule_mcts,2,mcts,rule,second,0.0,22,-9,3.7005052,25,25,148.020208
corrected_reduced_board_default_fixed_r2,rule_random,0,rule,random,first,1.0,45,39,0.1938504,25,25,7.754016
corrected_reduced_board_default_fixed_r2,rule_random,0,random,rule,second,0.0,6,-39,0.0001186,25,25,0.004744
corrected_reduced_board_default_fixed_r2,rule_random,1,rule,random,first,1.0,49,43,0.1608298,25,25,6.433192
corrected_reduced_board_default_fixed_r2,rule_random,1,random,rule,second,0.0,6,-43,8.73e-05,25,25,0.0034919999999999994
corrected_reduced_board_default_fixed_r2,rule_random,2,rule,random,first,1.0,40,35,0.1879669,24,25,7.831954166666666
corrected_reduced_board_default_fixed_r2,rule_random,2,random,rule,second,0.0,5,-35,7.01e-05,24,25,0.002920833333333333
corrected_reduced_board_default_goal10_r2,expectimax_d2_expectimax_d3,0,expectimax_d2,expectimax_d3,first,0.0,3,-10,0.789623,7,7,112.8032857142857
corrected_reduced_board_default_goal10_r2,expectimax_d2_expectimax_d3,0,expectimax_d3,expectimax_d2,second,1.0,13,10,8.1259854,7,7,1160.855057142857
corrected_reduced_board_default_goal10_r2,expectimax_d2_expectimax_d3,1,expectimax_d2,expectimax_d3,first,1.0,12,4,0.8355995,9,9,92.84438888888889
corrected_reduced_board_default_goal10_r2,expectimax_d2_expectimax_d3,1,expectimax_d3,expectimax_d2,second,0.0,8,-4,8.6368602,8,8,1079.607525
corrected_reduced_board_default_goal10_r2,expectimax_d2_expectimax_d3,2,expectimax_d2,expectimax_d3,first,0.0,9,-1,1.1585546,11,11,105.32314545454545
corrected_reduced_board_default_goal10_r2,expectimax_d2_expectimax_d3,2,expectimax_d3,expectimax_d2,second,1.0,10,1,8.7974302,11,11,799.7663818181819
corrected_reduced_board_default_goal10_r2,expectimax_d2_greedy,0,expectimax_d2,greedy,first,0.0,6,-5,0.9330355,8,8,116.62943750000001
corrected_reduced_board_default_goal10_r2,expectimax_d2_greedy,0,greedy,expectimax_d2,second,1.0,11,5,0.059839,8,8,7.479875000000001
corrected_reduced_board_default_goal10_r2,expectimax_d2_greedy,1,expectimax_d2,greedy,first,1.0,10,7,0.5986134,8,8,74.826675
corrected_reduced_board_default_goal10_r2,expectimax_d2_greedy,1,greedy,expectimax_d2,second,0.0,3,-7,0.0314655,7,7,4.495071428571428
corrected_reduced_board_default_goal10_r2,expectimax_d2_greedy,2,expectimax_d2,greedy,first,1.0,12,9,0.9366737,8,8,117.0842125
corrected_reduced_board_default_goal10_r2,expectimax_d2_greedy,2,greedy,expectimax_d2,second,0.0,3,-9,0.0690319,7,7,9.861699999999999
corrected_reduced_board_default_goal10_r2,expectimax_d2_mcts,0,expectimax_d2,mcts,first,1.0,12,5,0.8570453,9,9,95.22725555555556
corrected_reduced_board_default_goal10_r2,expectimax_d2_mcts,0,mcts,expectimax_d2,second,0.0,7,-5,1.2362212,8,8,154.52765
corrected_reduced_board_default_goal10_r2,expectimax_d2_mcts,1,expectimax_d2,mcts,first,0.0,6,-4,0.6359602,7,7,90.85145714285714
corrected_reduced_board_default_goal10_r2,expectimax_d2_mcts,1,mcts,expectimax_d2,second,1.0,10,4,1.1506967,7,7,164.38524285714286
corrected_reduced_board_default_goal10_r2,expectimax_d2_mcts,2,expectimax_d2,mcts,first,1.0,10,4,0.6807191,8,8,85.0898875
corrected_reduced_board_default_goal10_r2,expectimax_d2_mcts,2,mcts,expectimax_d2,second,0.0,6,-4,1.1661394,7,7,166.59134285714285
corrected_reduced_board_default_goal10_r2,expectimax_d2_random,0,expectimax_d2,random,first,1.0,10,10,0.3441226,5,5,68.82451999999999
corrected_reduced_board_default_goal10_r2,expectimax_d2_random,0,random,expectimax_d2,second,0.0,0,-10,1.49e-05,4,4,0.003725
corrected_reduced_board_default_goal10_r2,expectimax_d2_random,1,expectimax_d2,random,first,1.0,11,11,0.2884027,6,6,48.06711666666667
corrected_reduced_board_default_goal10_r2,expectimax_d2_random,1,random,expectimax_d2,second,0.0,0,-11,1.74e-05,5,5,0.0034799999999999996
corrected_reduced_board_default_goal10_r2,expectimax_d2_random,2,expectimax_d2,random,first,1.0,11,8,1.1592155,9,9,128.80172222222222
