mode,geometry,objectives,score_goal,game,agent_a,agent_b,winner,score_a,score_b,turns_a,turns_b,total_turns,goal_reached,winning_score
spread_inner_multi_goal40,Inner ring,Distributed,40,2,greedy,random,A,42,2,17,16,33,True,42
spread_inner_multi_goal40,Inner ring,Distributed,40,3,greedy,random,A,40,4,13,12,25,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,4,greedy,random,A,43,5,14,13,27,True,43
spread_inner_multi_goal40,Inner ring,Distributed,40,5,greedy,random,A,42,4,13,12,25,True,42
spread_inner_multi_goal40,Inner ring,Distributed,40,6,greedy,random,A,41,5,19,18,37,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,7,greedy,random,A,40,9,16,15,31,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,0,greedy,rule,A,41,27,20,19,39,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,1,greedy,rule,B,13,42,14,14,28,True,42
spread_inner_multi_goal40,Inner ring,Distributed,40,2,greedy,rule,B,33,40,23,23,46,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,3,greedy,rule,A,41,32,20,19,39,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,4,greedy,rule,B,13,40,17,17,34,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,5,greedy,rule,A,40,25,15,14,29,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,6,greedy,rule,B,30,40,18,18,36,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,7,greedy,rule,A,41,26,16,15,31,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,0,random,greedy,B,6,41,17,17,34,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,1,random,greedy,B,5,42,17,17,34,True,42
spread_inner_multi_goal40,Inner ring,Distributed,40,2,random,greedy,B,3,40,17,17,34,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,3,random,greedy,B,2,40,13,13,26,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,4,random,greedy,B,13,40,17,17,34,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,5,random,greedy,B,4,41,13,13,26,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,6,random,greedy,B,6,40,19,19,38,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,7,random,greedy,B,6,41,14,14,28,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,0,random,rule,B,6,41,17,17,34,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,1,random,rule,B,3,43,16,16,32,True,43
spread_inner_multi_goal40,Inner ring,Distributed,40,2,random,rule,B,3,40,14,14,28,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,3,random,rule,B,2,40,13,13,26,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,4,random,rule,B,13,40,17,17,34,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,5,random,rule,B,4,41,13,13,26,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,6,random,rule,B,4,41,17,17,34,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,7,random,rule,B,7,42,17,17,34,True,42
spread_inner_multi_goal40,Inner ring,Distributed,40,0,rule,greedy,B,32,40,23,23,46,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,1,rule,greedy,A,41,29,18,17,35,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,2,rule,greedy,B,28,40,17,17,34,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,3,rule,greedy,A,41,23,18,17,35,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,4,rule,greedy,B,33,40,20,20,40,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,5,rule,greedy,A,40,25,15,14,29,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,6,rule,greedy,B,27,40,21,21,42,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,7,rule,greedy,A,42,23,17,16,33,True,42
spread_inner_multi_goal40,Inner ring,Distributed,40,0,rule,random,A,41,6,19,18,37,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,1,rule,random,A,40,13,17,16,33,True,40
spread_inner_multi_goal40,Inner ring,Distributed,40,2,rule,random,A,41,3,15,14,29,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,3,rule,random,A,41,4,13,12,25,True,41
spread_inner_multi_goal40,Inner ring,Distributed,40,4,rule,random,A,43,5,14,13,27,True,43
spread_inner_multi_goal40,Inner ring,Distributed,40,5,rule,random,A,42,4,13,12,25,True,42
spread_inner_multi_goal40,Inner ring,Distributed,40,6,rule,random,A,42,5,19,18,37,True,42
spread_inner_multi_goal40,Inner ring,Distributed,40,7,rule,random,A,42,7,17,16,33,True,42
spread_outer_center_goal60,Outer orbit,Single center,60,0,greedy,random,A,62,0,12,11,23,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,1,greedy,random,A,62,6,13,12,25,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,2,greedy,random,A,62,0,13,12,25,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,3,greedy,random,A,61,0,13,12,25,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,4,greedy,random,A,63,0,12,11,23,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,5,greedy,random,A,61,0,11,10,21,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,6,greedy,random,A,62,0,14,13,27,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,7,greedy,random,A,62,19,12,11,23,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,0,greedy,rule,B,26,63,14,14,28,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,1,greedy,rule,B,16,62,15,15,30,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,2,greedy,rule,A,62,53,18,17,35,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,3,greedy,rule,B,19,65,15,15,30,True,65
spread_outer_center_goal60,Outer orbit,Single center,60,4,greedy,rule,B,52,63,16,16,32,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,5,greedy,rule,A,62,18,12,11,23,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,6,greedy,rule,A,64,38,17,16,33,True,64
spread_outer_center_goal60,Outer orbit,Single center,60,7,greedy,rule,A,61,16,14,13,27,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,0,random,greedy,B,1,61,13,13,26,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,1,random,greedy,B,0,63,18,18,36,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,2,random,greedy,B,1,61,15,15,30,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,3,random,greedy,B,0,64,12,12,24,True,64
spread_outer_center_goal60,Outer orbit,Single center,60,4,random,greedy,B,6,63,14,14,28,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,5,random,greedy,B,0,63,12,12,24,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,6,random,greedy,B,0,61,15,15,30,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,7,random,greedy,B,0,63,11,11,22,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,0,random,rule,B,1,64,11,11,22,True,64
spread_outer_center_goal60,Outer orbit,Single center,60,1,random,rule,B,0,62,14,14,28,True,62
spread_outer_center_goal60,Outer orbit,Single center,60,2,random,rule,B,1,61,15,15,30,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,3,random,rule,B,0,64,12,12,24,True,64
spread_outer_center_goal60,Outer orbit,Single center,60,4,random,rule,B,13,63,12,12,24,True,63
spread_outer_center_goal60,Outer orbit,Single center,60,5,random,rule,B,0,61,11,11,22,True,61
spread_outer_center_goal60,Outer orbit,Single center,60,6,random,rule,B,0,61,15,15,30,True,61
