game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,mode,pair,family,condition
3,rule,random,A,95,6,0.3141486,0.000198,50,50,screen_board_default,rule_random,Board,Default 5×5
4,rule,random,A,104,7,0.4773397,0.0002984,50,50,screen_board_default,rule_random,Board,Default 5×5
5,rule,random,A,96,5,0.4035465,0.000492,50,50,screen_board_default,rule_random,Board,Default 5×5
6,rule,random,A,11,1,0.0155214,2.72e-05,7,6,screen_board_default,rule_random,Board,Default 5×5
7,rule,random,A,103,6,0.3517418,0.000295299,50,50,screen_board_default,rule_random,Board,Default 5×5
0,greedy,random,A,70,7,0.5041965,0.0001117,25,24,screen_board_dual_arena,greedy_random,Board,Dual arena 5×7
1,greedy,random,A,209,13,0.822895699,0.0002084,50,50,screen_board_dual_arena,greedy_random,Board,Dual arena 5×7
2,greedy,random,A,122,10,0.487937,0.000162699,38,37,screen_board_dual_arena,greedy_random,Board,Dual arena 5×7
3,greedy,random,A,57,2,0.2656518,8.2e-05,22,21,screen_board_dual_arena,greedy_random,Board,Dual arena 5×7
4,greedy,random,A,223,7,0.8049291,0.0001977,50,50,screen_board_dual_arena,greedy_random,Board,Dual arena 5×7
5,greedy,random,A,28,4,0.1289693,8.48e-05,13,12,screen_board_dual_arena,greedy_random,Board,Dual arena 5×7
6,greedy,random,A,182,13,0.8324659,0.0001662,44,43,screen_board_dual_arena,greedy_random,Board,Dual arena 5×7
7,greedy,random,A,153,15,0.7417275,0.0002309,50,50,screen_board_dual_arena,greedy_random,Board,Dual arena 5×7
0,greedy,rule,B,0,4,0.0317027,0.0207416,4,4,screen_board_dual_arena,greedy_rule,Board,Dual arena 5×7
1,greedy,rule,A,121,119,0.9624305,0.4302031,50,50,screen_board_dual_arena,greedy_rule,Board,Dual arena 5×7
2,greedy,rule,A,139,107,0.979872601,0.418470001,50,50,screen_board_dual_arena,greedy_rule,Board,Dual arena 5×7
3,greedy,rule,A,151,89,1.2064633,0.666895499,50,50,screen_board_dual_arena,greedy_rule,Board,Dual arena 5×7
4,greedy,rule,B,65,96,0.820666,0.4028623,50,50,screen_board_dual_arena,greedy_rule,Board,Dual arena 5×7
5,greedy,rule,A,112,92,0.9246685,0.474843,42,41,screen_board_dual_arena,greedy_rule,Board,Dual arena 5×7
6,greedy,rule,A,128,121,1.2396603,0.530361301,50,50,screen_board_dual_arena,greedy_rule,Board,Dual arena 5×7
7,greedy,rule,B,89,166,1.0683596,0.7213939,50,50,screen_board_dual_arena,greedy_rule,Board,Dual arena 5×7
0,random,greedy,B,4,40,7.55e-05,0.1424338,21,22,screen_board_dual_arena,random_greedy,Board,Dual arena 5×7
1,random,greedy,B,7,107,0.000114,0.3660874,29,28,screen_board_dual_arena,random_greedy,Board,Dual arena 5×7
2,random,greedy,B,18,195,0.0001896,0.7469,50,50,screen_board_dual_arena,random_greedy,Board,Dual arena 5×7
3,random,greedy,draw,0,0,2.9e-06,0.0,1,0,screen_board_dual_arena,random_greedy,Board,Dual arena 5×7
4,random,greedy,B,0,8,1.76e-05,0.0576922,4,4,screen_board_dual_arena,random_greedy,Board,Dual arena 5×7
5,random,greedy,draw,0,0,1.06e-05,0.0118824,3,2,screen_board_dual_arena,random_greedy,Board,Dual arena 5×7
6,random,greedy,B,15,174,0.0002351,0.6180243,50,50,screen_board_dual_arena,random_greedy,Board,Dual arena 5×7
7,random,greedy,B,18,207,0.0001929,0.5730512,50,50,screen_board_dual_arena,random_greedy,Board,Dual arena 5×7
0,random,rule,B,3,7,3.11e-05,0.0122129,8,7,screen_board_dual_arena,random_rule,Board,Dual arena 5×7
1,random,rule,B,26,191,0.0002194,0.6944634,50,50,screen_board_dual_arena,random_rule,Board,Dual arena 5×7
2,random,rule,B,4,16,3.97e-05,0.0215682,10,9,screen_board_dual_arena,random_rule,Board,Dual arena 5×7
3,random,rule,draw,0,0,2.5e-06,0.0,1,0,screen_board_dual_arena,random_rule,Board,Dual arena 5×7
4,random,rule,B,26,158,0.000161699,0.381637499,50,50,screen_board_dual_arena,random_rule,Board,Dual arena 5×7
5,random,rule,B,4,26,5.19e-05,0.0777098,13,12,screen_board_dual_arena,random_rule,Board,Dual arena 5×7
6,random,rule,B,16,216,0.000183,0.61623,50,50,screen_board_dual_arena,random_rule,Board,Dual arena 5×7
7,random,rule,B,22,204,0.0001816,0.5297768,50,50,screen_board_dual_arena,random_rule,Board,Dual arena 5×7
0,rule,greedy,A,144,106,0.653905,1.3811379,50,50,screen_board_dual_arena,rule_greedy,Board,Dual arena 5×7
1,rule,greedy,B,107,138,0.587264301,1.245316401,50,50,screen_board_dual_arena,rule_greedy,Board,Dual arena 5×7
2,rule,greedy,A,125,117,0.642799399,0.9469034,50,50,screen_board_dual_arena,rule_greedy,Board,Dual arena 5×7
3,rule,greedy,A,127,114,0.5112454,0.876505,50,50,screen_board_dual_arena,rule_greedy,Board,Dual arena 5×7
4,rule,greedy,B,112,152,0.6011045,1.4679352,50,50,screen_board_dual_arena,rule_greedy,Board,Dual arena 5×7
5,rule,greedy,A,111,109,0.537998,1.095044101,50,50,screen_board_dual_arena,rule_greedy,Board,Dual arena 5×7
6,rule,greedy,A,145,107,0.4376595,0.7507519,50,50,screen_board_dual_arena,rule_greedy,Board,Dual arena 5×7
7,rule,greedy,B,114,145,0.4193423,0.7291115,50,50,screen_board_dual_arena,rule_greedy,Board,Dual arena 5×7
0,rule,random,A,16,10,0.0298258,3.18e-05,8,7,screen_board_dual_arena,rule_random,Board,Dual arena 5×7
1,rule,random,A,211,20,0.6032152,0.0001912,50,50,screen_board_dual_arena,rule_random,Board,Dual arena 5×7
2,rule,random,A,33,3,0.103331,6.1e-05,15,15,screen_board_dual_arena,rule_random,Board,Dual arena 5×7
3,rule,random,A,57,2,0.1010383,0.0001356,22,21,screen_board_dual_arena,rule_random,Board,Dual arena 5×7
4,rule,random,A,52,3,0.0719816,4.5e-05,14,13,screen_board_dual_arena,rule_random,Board,Dual arena 5×7
5,rule,random,A,137,30,0.719922199,0.0001871,44,44,screen_board_dual_arena,rule_random,Board,Dual arena 5×7
6,rule,random,A,196,15,0.8315554,0.000213,50,50,screen_board_dual_arena,rule_random,Board,Dual arena 5×7
7,rule,random,A,196,4,0.3907331,0.0001917,50,50,screen_board_dual_arena,rule_random,Board,Dual arena 5×7
0,greedy,random,draw,0,0,0.034324,1.95e-05,4,4,screen_board_open_7x7,greedy_random,Board,Open 7×7
1,greedy,random,A,3,0,0.0067877,8.2e-06,3,2,screen_board_open_7x7,greedy_random,Board,Open 7×7
2,greedy,random,A,156,10,0.6933758,0.000191,48,48,screen_board_open_7x7,greedy_random,Board,Open 7×7
3,greedy,random,draw,0,0,0.0006846,0.0,1,0,screen_board_open_7x7,greedy_random,Board,Open 7×7
4,greedy,random,A,128,1,0.5277072,0.0001785,35,35,screen_board_open_7x7,greedy_random,Board,Open 7×7
5,greedy,random,A,31,2,0.1630602,5.31e-05,13,12,screen_board_open_7x7,greedy_random,Board,Open 7×7
6,greedy,random,A,64,7,0.3190322,0.0001009,25,25,screen_board_open_7x7,greedy_random,Board,Open 7×7
7,greedy,random,A,46,2,0.2660674,7.52e-05,18,18,screen_board_open_7x7,greedy_random,Board,Open 7×7
0,greedy,rule,A,113,90,1.1378402,0.8795628,50,50,screen_board_open_7x7,greedy_rule,Board,Open 7×7
1,greedy,rule,A,3,0,0.0064288,0.0031201,3,2,screen_board_open_7x7,greedy_rule,Board,Open 7×7
2,greedy,rule,A,112,99,1.1626702,0.6506492,50,50,screen_board_open_7x7,greedy_rule,Board,Open 7×7
3,greedy,rule,draw,0,0,0.0013011,0.0,1,0,screen_board_open_7x7,greedy_rule,Board,Open 7×7
4,greedy,rule,B,94,112,0.9580072,0.6404604,50,50,screen_board_open_7x7,greedy_rule,Board,Open 7×7
5,greedy,rule,A,27,20,0.167332,0.1128986,14,13,screen_board_open_7x7,greedy_rule,Board,Open 7×7
6,greedy,rule,B,63,136,1.2479184,0.8739283,50,50,screen_board_open_7x7,greedy_rule,Board,Open 7×7
7,greedy,rule,A,6,0,0.0467464,0.0202329,4,3,screen_board_open_7x7,greedy_rule,Board,Open 7×7
0,random,greedy,B,0,2,1.52e-05,0.0260701,4,4,screen_board_open_7x7,random_greedy,Board,Open 7×7
1,random,greedy,draw,0,0,4.4e-06,0.0030617,1,1,screen_board_open_7x7,random_greedy,Board,Open 7×7
2,random,greedy,draw,2,2,1.81e-05,0.017894,5,4,screen_board_open_7x7,random_greedy,Board,Open 7×7
3,random,greedy,draw,0,0,4.2e-06,0.0,1,0,screen_board_open_7x7,random_greedy,Board,Open 7×7
4,random,greedy,B,9,173,0.0002106,0.8701808,50,50,screen_board_open_7x7,random_greedy,Board,Open 7×7
5,random,greedy,B,3,16,4.6e-05,0.1835915,14,13,screen_board_open_7x7,random_greedy,Board,Open 7×7
6,random,greedy,B,0,3,1.44e-05,0.0271342,4,3,screen_board_open_7x7,random_greedy,Board,Open 7×7
7,random,greedy,draw,0,0,2.21e-05,0.0114834,3,2,screen_board_open_7x7,random_greedy,Board,Open 7×7
0,random,rule,B,0,4,1.62e-05,0.0186899,4,4,screen_board_open_7x7,random_rule,Board,Open 7×7
1,random,rule,draw,0,0,3.6e-06,0.0030685,1,1,screen_board_open_7x7,random_rule,Board,Open 7×7
2,random,rule,B,2,4,1.75e-05,0.0129556,5,4,screen_board_open_7x7,random_rule,Board,Open 7×7
3,random,rule,draw,0,0,3e-06,0.0,1,0,screen_board_open_7x7,random_rule,Board,Open 7×7
4,random,rule,B,0,4,1.32e-05,0.0243853,4,4,screen_board_open_7x7,random_rule,Board,Open 7×7
5,random,rule,B,4,21,5.17e-05,0.0708796,13,12,screen_board_open_7x7,random_rule,Board,Open 7×7
6,random,rule,draw,0,0,1.56e-05,0.0068566,4,3,screen_board_open_7x7,random_rule,Board,Open 7×7
7,random,rule,B,0,6,3.01e-05,0.0091555,8,7,screen_board_open_7x7,random_rule,Board,Open 7×7
0,rule,greedy,B,74,133,0.8233757,1.4127399,50,50,screen_board_open_7x7,rule_greedy,Board,Open 7×7
1,rule,greedy,B,96,100,0.6383043,1.0554017,50,50,screen_board_open_7x7,rule_greedy,Board,Open 7×7
2,rule,greedy,A,100,72,0.599643599,0.9865975,50,50,screen_board_open_7x7,rule_greedy,Board,Open 7×7
3,rule,greedy,draw,0,0,0.0010998,0.0,1,0,screen_board_open_7x7,rule_greedy,Board,Open 7×7
4,rule,greedy,B,94,116,0.8129161,1.392400699,50,50,screen_board_open_7x7,rule_greedy,Board,Open 7×7
5,rule,greedy,A,114,83,0.608022599,1.1777726,50,50,screen_board_open_7x7,rule_greedy,Board,Open 7×7
6,rule,greedy,B,90,113,0.612503,1.1251892,50,50,screen_board_open_7x7,rule_greedy,Board,Open 7×7
7,rule,greedy,A,119,90,0.7013286,0.9621496,50,50,screen_board_open_7x7,rule_greedy,Board,Open 7×7
0,rule,random,A,6,0,0.0433383,1.82e-05,4,4,screen_board_open_7x7,rule_random,Board,Open 7×7
1,rule,random,A,154,27,0.6545399,0.0002392,50,50,screen_board_open_7x7,rule_random,Board,Open 7×7
2,rule,random,A,145,18,0.4995895,0.0001947,50,50,screen_board_open_7x7,rule_random,Board,Open 7×7
3,rule,random,draw,0,0,0.0010258,0.0,1,0,screen_board_open_7x7,rule_random,Board,Open 7×7
4,rule,random,A,157,27,0.6565362,0.0004331,50,50,screen_board_open_7x7,rule_random,Board,Open 7×7
5,rule,random,A,29,4,0.1042604,7.81e-05,12,11,screen_board_open_7x7,rule_random,Board,Open 7×7
6,rule,random,A,152,10,0.7906334,0.0002868,50,50,screen_board_open_7x7,rule_random,Board,Open 7×7
7,rule,random,A,154,10,0.7106618,0.0001986,50,50,screen_board_open_7x7,rule_random,Board,Open 7×7
0,greedy,random,draw,0,0,0.037729,1.69e-05,4,4,screen_board_bottleneck_7x7,greedy_random,Board,Bottleneck 7×7
1,greedy,random,A,3,0,0.005704,8.8e-06,3,2,screen_board_bottleneck_7x7,greedy_random,Board,Bottleneck 7×7
2,greedy,random,A,172,17,0.3530909,0.0001798,50,50,screen_board_bottleneck_7x7,greedy_random,Board,Bottleneck 7×7
3,greedy,random,draw,0,0,0.0008195,0.0,1,0,screen_board_bottleneck_7x7,greedy_random,Board,Bottleneck 7×7
4,greedy,random,A,129,19,0.5826175,0.0001998,39,38,screen_board_bottleneck_7x7,greedy_random,Board,Bottleneck 7×7
5,greedy,random,A,37,3,0.2172143,4.75e-05,12,11,screen_board_bottleneck_7x7,greedy_random,Board,Bottleneck 7×7
6,greedy,random,A,174,29,0.5538479,0.0001969,50,50,screen_board_bottleneck_7x7,greedy_random,Board,Bottleneck 7×7
7,greedy,random,A,39,3,0.1334176,5.82e-05,14,14,screen_board_bottleneck_7x7,greedy_random,Board,Bottleneck 7×7
0,greedy,rule,B,122,151,0.9607369,0.8213143,50,50,screen_board_bottleneck_7x7,greedy_rule,Board,Bottleneck 7×7
1,greedy,rule,A,3,0,0.0053907,0.0036705,3,2,screen_board_bottleneck_7x7,greedy_rule,Board,Bottleneck 7×7
2,greedy,rule,A,130,120,0.7435189,0.5499474,50,50,screen_board_bottleneck_7x7,greedy_rule,Board,Bottleneck 7×7
3,greedy,rule,draw,0,0,0.0006535,0.0,1,0,screen_board_bottleneck_7x7,greedy_rule,Board,Bottleneck 7×7
4,greedy,rule,B,82,159,0.9589766,0.4413253,50,50,screen_board_bottleneck_7x7,greedy_rule,Board,Bottleneck 7×7
5,greedy,rule,A,145,111,0.621908,0.462072701,50,50,screen_board_bottleneck_7x7,greedy_rule,Board,Bottleneck 7×7
6,greedy,rule,B,111,125,0.738889699,0.510524301,50,50,screen_board_bottleneck_7x7,greedy_rule,Board,Bottleneck 7×7
7,greedy,rule,A,6,0,0.0229615,0.0119478,4,3,screen_board_bottleneck_7x7,greedy_rule,Board,Bottleneck 7×7
0,random,greedy,B,0,3,1.94e-05,0.0297612,4,4,screen_board_bottleneck_7x7,random_greedy,Board,Bottleneck 7×7
1,random,greedy,draw,0,0,3.2e-06,0.0021691,1,1,screen_board_bottleneck_7x7,random_greedy,Board,Bottleneck 7×7
2,random,greedy,B,19,53,7.28e-05,0.1151274,19,19,screen_board_bottleneck_7x7,random_greedy,Board,Bottleneck 7×7
3,random,greedy,draw,0,0,3e-06,0.0,1,0,screen_board_bottleneck_7x7,random_greedy,Board,Bottleneck 7×7
4,random,greedy,B,37,180,0.0001951,0.4661039,50,50,screen_board_bottleneck_7x7,random_greedy,Board,Bottleneck 7×7
5,random,greedy,B,6,33,9.59e-05,0.1020593,13,12,screen_board_bottleneck_7x7,random_greedy,Board,Bottleneck 7×7
6,random,greedy,B,0,3,1.21e-05,0.0132186,4,3,screen_board_bottleneck_7x7,random_greedy,Board,Bottleneck 7×7
7,random,greedy,draw,0,0,1e-05,0.0074211,3,2,screen_board_bottleneck_7x7,random_greedy,Board,Bottleneck 7×7
0,random,rule,B,0,6,1.94e-05,0.0177657,4,4,screen_board_bottleneck_7x7,random_rule,Board,Bottleneck 7×7
1,random,rule,draw,0,0,3.7e-06,0.0024873,1,1,screen_board_bottleneck_7x7,random_rule,Board,Bottleneck 7×7
2,random,rule,B,15,119,0.0001407,0.1963995,36,36,screen_board_bottleneck_7x7,random_rule,Board,Bottleneck 7×7
3,random,rule,draw,0,0,3.2e-06,0.0,1,0,screen_board_bottleneck_7x7,random_rule,Board,Bottleneck 7×7
4,random,rule,B,28,206,0.0001534,0.2788893,50,50,screen_board_bottleneck_7x7,random_rule,Board,Bottleneck 7×7
5,random,rule,B,14,24,4.44e-05,0.0648622,12,11,screen_board_bottleneck_7x7,random_rule,Board,Bottleneck 7×7
6,random,rule,draw,0,0,1.19e-05,0.0055676,4,3,screen_board_bottleneck_7x7,random_rule,Board,Bottleneck 7×7
7,random,rule,B,4,6,1.72e-05,0.005626,6,5,screen_board_bottleneck_7x7,random_rule,Board,Bottleneck 7×7
0,rule,greedy,B,117,123,0.660448799,0.9514013,50,50,screen_board_bottleneck_7x7,rule_greedy,Board,Bottleneck 7×7
1,rule,greedy,B,5,16,0.0251383,0.0280681,7,6,screen_board_bottleneck_7x7,rule_greedy,Board,Bottleneck 7×7
2,rule,greedy,B,29,43,0.1006108,0.1961744,16,15,screen_board_bottleneck_7x7,rule_greedy,Board,Bottleneck 7×7
3,rule,greedy,draw,0,0,0.0013645,0.0,1,0,screen_board_bottleneck_7x7,rule_greedy,Board,Bottleneck 7×7
4,rule,greedy,A,130,117,0.7594968,1.1676944,50,50,screen_board_bottleneck_7x7,rule_greedy,Board,Bottleneck 7×7
5,rule,greedy,A,156,85,0.6376907,0.9609304,50,50,screen_board_bottleneck_7x7,rule_greedy,Board,Bottleneck 7×7
6,rule,greedy,draw,3,3,0.0280339,0.020572,4,3,screen_board_bottleneck_7x7,rule_greedy,Board,Bottleneck 7×7
7,rule,greedy,A,138,131,0.4710449,0.7897715,50,50,screen_board_bottleneck_7x7,rule_greedy,Board,Bottleneck 7×7
0,rule,random,A,9,0,0.044369,2.12e-05,4,4,screen_board_bottleneck_7x7,rule_random,Board,Bottleneck 7×7
1,rule,random,A,215,24,0.6000501,0.000729901,50,50,screen_board_bottleneck_7x7,rule_random,Board,Bottleneck 7×7
2,rule,random,A,42,15,0.0765768,9.24e-05,15,14,screen_board_bottleneck_7x7,rule_random,Board,Bottleneck 7×7
3,rule,random,draw,0,0,0.0020053,0.0,1,0,screen_board_bottleneck_7x7,rule_random,Board,Bottleneck 7×7
4,rule,random,A,66,5,0.0769597,7.02e-05,18,18,screen_board_bottleneck_7x7,rule_random,Board,Bottleneck 7×7
5,rule,random,A,64,4,0.1063316,6.71e-05,18,16,screen_board_bottleneck_7x7,rule_random,Board,Bottleneck 7×7
6,rule,random,A,131,25,0.332159999,0.000151399,42,42,screen_board_bottleneck_7x7,rule_random,Board,Bottleneck 7×7
7,rule,random,A,192,15,0.3875953,0.0002246,50,50,screen_board_bottleneck_7x7,rule_random,Board,Bottleneck 7×7
0,greedy,random,A,3,0,0.027515,2e-05,4,4,screen_pieces_2,greedy_random,Pieces,2 pieces
1,greedy,random,A,81,9,0.3783167,0.0002363,50,50,screen_pieces_2,greedy_random,Pieces,2 pieces
2,greedy,random,A,75,13,0.3483861,0.0002055,50,50,screen_pieces_2,greedy_random,Pieces,2 pieces
3,greedy,random,draw,0,0,0.0010253,0.0,1,0,screen_pieces_2,greedy_random,Pieces,2 pieces
4,greedy,random,A,78,15,0.2482669,0.0001818,50,50,screen_pieces_2,greedy_random,Pieces,2 pieces
5,greedy,random,A,41,0,0.1471647,0.0001067,29,28,screen_pieces_2,greedy_random,Pieces,2 pieces
6,greedy,random,A,35,4,0.1445653,0.0001039,25,25,screen_pieces_2,greedy_random,Pieces,2 pieces
7,greedy,random,A,81,2,0.313941601,0.000805799,50,50,screen_pieces_2,greedy_random,Pieces,2 pieces
0,greedy,rule,B,29,81,0.5175246,0.1412612,50,50,screen_pieces_2,greedy_rule,Pieces,2 pieces
1,greedy,rule,B,47,59,0.3126109,0.1380309,50,50,screen_pieces_2,greedy_rule,Pieces,2 pieces
2,greedy,rule,B,34,73,0.4233165,0.1812915,50,50,screen_pieces_2,greedy_rule,Pieces,2 pieces
3,greedy,rule,draw,0,0,0.0006168,0.0,1,0,screen_pieces_2,greedy_rule,Pieces,2 pieces
4,greedy,rule,A,57,49,0.3579601,0.100725,50,50,screen_pieces_2,greedy_rule,Pieces,2 pieces
5,greedy,rule,B,48,55,0.3269074,0.1270743,50,50,screen_pieces_2,greedy_rule,Pieces,2 pieces
6,greedy,rule,A,64,38,0.3790315,0.1391762,50,50,screen_pieces_2,greedy_rule,Pieces,2 pieces
7,greedy,rule,A,6,1,0.0130877,0.0036462,4,3,screen_pieces_2,greedy_rule,Pieces,2 pieces
0,random,greedy,B,0,1,2.01e-05,0.0152864,4,4,screen_pieces_2,random_greedy,Pieces,2 pieces
1,random,greedy,draw,0,0,3.3e-06,0.001517,1,1,screen_pieces_2,random_greedy,Pieces,2 pieces
2,random,greedy,B,3,93,0.0002715,0.3225177,50,50,screen_pieces_2,random_greedy,Pieces,2 pieces
3,random,greedy,draw,0,0,2.5e-06,0.0,1,0,screen_pieces_2,random_greedy,Pieces,2 pieces
4,random,greedy,B,15,79,0.0001707,0.2374992,50,50,screen_pieces_2,random_greedy,Pieces,2 pieces
5,random,greedy,B,1,16,7.82e-05,0.0900024,14,13,screen_pieces_2,random_greedy,Pieces,2 pieces
6,random,greedy,B,0,8,2.7e-05,0.0119512,7,6,screen_pieces_2,random_greedy,Pieces,2 pieces
7,random,greedy,draw,0,0,1.69e-05,0.0046356,6,5,screen_pieces_2,random_greedy,Pieces,2 pieces
0,random,rule,B,0,2,1.8e-05,0.0298195,4,4,screen_pieces_2,random_rule,Pieces,2 pieces
1,random,rule,B,13,85,0.0002924,0.2124503,50,50,screen_pieces_2,random_rule,Pieces,2 pieces
2,random,rule,B,0,1,1.75e-05,0.0065341,5,4,screen_pieces_2,random_rule,Pieces,2 pieces
3,random,rule,draw,0,0,2.9e-06,0.0,1,0,screen_pieces_2,random_rule,Pieces,2 pieces
4,random,rule,B,11,87,0.0001541,0.1006642,50,50,screen_pieces_2,random_rule,Pieces,2 pieces
5,random,rule,B,4,54,0.0001233,0.0676912,38,37,screen_pieces_2,random_rule,Pieces,2 pieces
6,random,rule,B,1,48,8.81e-05,0.0355726,28,27,screen_pieces_2,random_rule,Pieces,2 pieces
7,random,rule,B,10,81,0.0001753,0.1049902,49,48,screen_pieces_2,random_rule,Pieces,2 pieces
0,rule,greedy,A,57,54,0.1176099,0.3488709,50,50,screen_pieces_2,rule_greedy,Pieces,2 pieces
1,rule,greedy,A,60,49,0.1750343,0.5291746,50,50,screen_pieces_2,rule_greedy,Pieces,2 pieces
2,rule,greedy,A,60,41,0.1537342,0.3910849,50,50,screen_pieces_2,rule_greedy,Pieces,2 pieces
3,rule,greedy,A,62,40,0.1090477,0.2935427,50,50,screen_pieces_2,rule_greedy,Pieces,2 pieces
4,rule,greedy,A,57,51,0.138629799,0.4242717,50,50,screen_pieces_2,rule_greedy,Pieces,2 pieces
5,rule,greedy,A,57,49,0.1170216,0.3249344,50,50,screen_pieces_2,rule_greedy,Pieces,2 pieces
6,rule,greedy,B,45,58,0.14854,0.478455,50,50,screen_pieces_2,rule_greedy,Pieces,2 pieces
7,rule,greedy,A,74,38,0.1050119,0.2560622,50,50,screen_pieces_2,rule_greedy,Pieces,2 pieces
0,rule,random,A,47,6,0.0909762,0.0001719,27,27,screen_pieces_2,rule_random,Pieces,2 pieces
1,rule,random,A,39,5,0.0441957,8.48e-05,28,27,screen_pieces_2,rule_random,Pieces,2 pieces
2,rule,random,A,78,13,0.090086301,0.0002183,46,46,screen_pieces_2,rule_random,Pieces,2 pieces
3,rule,random,A,94,5,0.1223325,0.0001908,50,50,screen_pieces_2,rule_random,Pieces,2 pieces
4,rule,random,A,3,0,0.0075863,1.53e-05,4,4,screen_pieces_2,rule_random,Pieces,2 pieces
